DATE|TEAM.1|TEAM.2|IS_HOST.1|IS_HOST.2|Y
2014-11-21|Australia|South Africa|True|False|True
2015-01-18|Australia|India|True|False|True
2015-02-14|Australia|England|True|False|True
2015-02-22|India|South Africa|False|False|True
2015-02-26|Bangladesh|Sri Lanka|False|False|False
2015-03-19|Bangladesh|India|False|False|False
2015-03-29|Australia|New Zealand|True|False|True
2016-01-17|Australia|India|True|False|True
2016-12-09|Australia|New Zealand|True|False|True
2017-01-15|Australia|Pakistan|True|False|False
2018-01-14|Australia|England|True|False|False
2019-01-18|Australia|India|True|False|False
2015-02-14|Australia|England|True|False|True
2015-02-22|India|South Africa|False|False|True
2015-02-26|Bangladesh|Sri Lanka|False|False|False
2015-03-19|Bangladesh|India|False|False|False
2015-03-29|Australia|New Zealand|True|False|True
1972-08-24|England|Australia|True|False|True
1973-07-20|England|New Zealand|True|False|False
1975-06-07|Sri Lanka|West Indies|False|False|False
1975-06-14|India|New Zealand|False|False|False
1977-06-02|England|Australia|True|False|True
1978-05-24|England|Pakistan|True|False|True
1978-07-17|England|New Zealand|True|False|True
1979-06-13|England|Canada|True|False|True
1979-06-16|India|Sri Lanka|False|False|False
1979-06-20|England|New Zealand|True|False|True
1975-06-07|Sri Lanka|West Indies|False|False|False
1975-06-14|India|New Zealand|False|False|False
1979-06-13|England|Canada|True|False|True
1979-06-16|India|Sri Lanka|False|False|False
1979-06-20|England|New Zealand|True|False|True
1982-07-19|England|Pakistan|True|False|True
1983-06-09|India|West Indies|False|False|True
1983-06-18|England|Pakistan|True|False|True
1983-06-22|England|India|True|False|False
1984-05-31|England|West Indies|True|False|False
1985-05-30|England|Australia|True|False|False
1986-05-26|England|India|True|False|True
1986-07-18|England|New Zealand|True|False|True
1989-05-25|England|Australia|True|False|True
1983-06-09|India|West Indies|False|False|True
1983-06-18|England|Pakistan|True|False|True
1983-06-22|England|India|True|False|False
1991-05-25|England|West Indies|True|False|True
1992-08-24|England|Pakistan|True|False|True
1993-05-19|England|Australia|True|False|False
1994-08-27|England|South Africa|True|False|True
1996-05-26|England|India|True|False|True
1996-08-29|England|Pakistan|True|False|True
1998-05-23|England|South Africa|True|False|False
1999-05-30|Australia|West Indies|False|False|True
1999-06-08|India|Pakistan|False|False|True
1999-06-16|New Zealand|Pakistan|False|False|False
1999-05-30|Australia|West Indies|False|False|True
1999-06-08|India|Pakistan|False|False|True
1999-06-16|New Zealand|Pakistan|False|False|False
2000-07-13|England|Zimbabwe|True|False|True
2001-06-14|England|Australia|True|False|False
2002-07-07|England|Sri Lanka|True|False|False
2003-06-17|England|Pakistan|True|False|False
2003-07-03|England|South Africa|True|False|False
2004-06-24|England|New Zealand|True|False|False
2005-06-25|Australia|Bangladesh|False|False|True
2006-06-28|England|Sri Lanka|True|False|False
2007-08-30|England|India|True|False|True
2010-06-27|England|Australia|True|False|True
2011-07-09|England|Sri Lanka|True|False|True
2012-07-10|England|Australia|True|False|True
2013-09-08|England|Australia|True|False|False
2014-05-28|England|Sri Lanka|True|False|True
2015-09-08|England|Australia|True|False|True
2015-09-12|England|Australia|True|False|False
2017-09-19|England|West Indies|True|False|True
2018-06-24|England|Australia|True|False|True
1972-08-26|England|Australia|True|False|False
1975-06-07|England|India|True|False|True
1975-06-21|Australia|West Indies|False|False|False
1976-08-28|England|West Indies|True|False|False
1979-06-09|England|Australia|True|False|True
1979-06-23|England|West Indies|True|False|False
1975-06-07|England|India|True|False|True
1975-06-21|Australia|West Indies|False|False|False
1979-06-09|England|Australia|True|False|True
1979-06-23|England|West Indies|True|False|False
1980-05-30|England|West Indies|True|False|True
1981-06-04|England|Australia|True|False|True
1983-06-13|England|Pakistan|True|False|True
1983-06-18|Australia|West Indies|False|False|False
1983-06-25|India|West Indies|False|False|True
1984-06-04|England|West Indies|True|False|False
1985-06-03|England|Australia|True|False|True
1988-05-23|England|West Indies|True|False|True
1989-05-29|England|Australia|True|False|False
1983-06-13|England|Pakistan|True|False|True
1983-06-18|Australia|West Indies|False|False|False
1983-06-25|India|West Indies|False|False|True
1991-05-27|England|West Indies|True|False|True
1992-05-20|England|Pakistan|True|False|True
1992-08-22|England|Pakistan|True|False|False
1993-05-23|England|Australia|True|False|False
1994-05-21|England|New Zealand|True|False|False
1995-05-28|England|West Indies|True|False|True
1997-05-25|England|Australia|True|False|True
1998-08-16|England|Sri Lanka|True|False|True
1998-08-20|England|Sri Lanka|True|False|False
1999-05-14|England|Sri Lanka|True|False|True
1999-06-09|Australia|Zimbabwe|False|False|True
1999-06-20|Australia|Pakistan|False|False|True
1999-05-14|England|Sri Lanka|True|False|True
1999-06-09|Australia|Zimbabwe|False|False|True
1999-06-20|Australia|Pakistan|False|False|True
2000-07-09|England|West Indies|True|False|False
2000-07-22|England|Zimbabwe|True|False|True
2001-06-12|England|Pakistan|True|False|False
2001-06-23|Australia|Pakistan|False|False|True
2002-06-29|England|India|True|False|False
2002-07-13|England|India|True|False|False
2003-06-22|England|Pakistan|True|False|True
2003-07-12|England|South Africa|True|False|True
2004-07-06|England|West Indies|True|False|False
2004-07-10|New Zealand|West Indies|False|False|True
2004-09-04|Australia|Pakistan|False|False|True
2004-09-05|England|India|True|False|False
2005-07-02|England|Australia|True|False|False
2005-07-10|England|Australia|True|False|False
2006-06-17|England|Sri Lanka|True|False|False
2006-09-02|England|Pakistan|True|False|False
2007-07-01|England|West Indies|True|False|True
2007-09-08|England|India|True|False|True
2008-06-27|England|New Zealand|True|False|False
