DATE|COUNTRIES|GROUND|CITY|COUNTRY|TEAM.1|TEAM.2|WINNER|MARGIN
1979-06-16|India v. Sri Lanka|Old Trafford|Manchester|England|India|Sri Lanka|Sri Lanka|47 runs
1979-06-16|New Zealand v. West Indies|Trent Bridge|Nottingham|England|New Zealand|West Indies|West Indies|32 runs
1979-06-16|Australia v. Canada|Edgbaston|Birmingham|England|Australia|Canada|Australia|7 wickets
1979-06-16|England v. Pakistan|Headingley|Leeds|England|England|Pakistan|England|14 runs
1979-06-20|England v. New Zealand|Old Trafford|Manchester|England|England|New Zealand|England|9 runs
1979-06-20|Pakistan v. West Indies|Kennington Oval|London|England|Pakistan|West Indies|West Indies|43 runs
1979-06-23|England v. West Indies|Lord's|London|England|England|West Indies|West Indies|92 runs
1979-11-27|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|5 wickets
1979-11-28|England v. West Indies|Sydney Cricket Ground|Sydney|Australia|England|West Indies|England|2 runs
1979-12-08|Australia v. England|Melbourne Cricket Ground|Melbourne|Australia|Australia|England|England|3 wickets
1979-12-09|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|West Indies|80 runs
1979-12-11|Australia v. England|Sydney Cricket Ground|Sydney|Australia|Australia|England|England|72 runs
1979-12-21|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|7 runs
1979-12-23|England v. West Indies|Brisbane Cricket Ground|Brisbane|Australia|England|West Indies|West Indies|9 wickets
1979-12-26|Australia v. England|Sydney Cricket Ground|Sydney|Australia|Australia|England|England|4 wickets
1975-06-07|England v. India|Lord's|London|England|England|India|England|202 runs
1975-06-07|East Africa v. New Zealand|Edgbaston|Birmingham|England|East Africa|New Zealand|New Zealand|181 runs
1975-06-07|Australia v. Pakistan|Headingley|Leeds|England|Australia|Pakistan|Australia|73 runs
1975-06-07|Sri Lanka v. West Indies|Old Trafford|Manchester|England|Sri Lanka|West Indies|West Indies|9 wickets
1975-06-11|England v. New Zealand|Trent Bridge|Nottingham|England|England|New Zealand|England|80 runs
1975-06-11|East Africa v. India|Headingley|Leeds|England|East Africa|India|India|10 wickets
1975-06-11|Australia v. Sri Lanka|Kennington Oval|London|England|Australia|Sri Lanka|Australia|52 runs
1975-06-11|Pakistan v. West Indies|Edgbaston|Birmingham|England|Pakistan|West Indies|West Indies|1 wicket
1975-06-14|England v. East Africa|Edgbaston|Birmingham|England|England|East Africa|England|196 runs
1975-06-14|India v. New Zealand|Old Trafford|Manchester|England|India|New Zealand|New Zealand|4 wickets
1975-06-14|Australia v. West Indies|Kennington Oval|London|England|Australia|West Indies|West Indies|7 wickets
1975-06-14|Pakistan v. Sri Lanka|Trent Bridge|Nottingham|England|Pakistan|Sri Lanka|Pakistan|192 runs
1975-06-18|England v. Australia|Headingley|Leeds|England|England|Australia|Australia|4 wickets
1975-06-18|New Zealand v. West Indies|Kennington Oval|London|England|New Zealand|West Indies|West Indies|5 wickets
1975-06-21|Australia v. West Indies|Lord's|London|England|Australia|West Indies|West Indies|17 runs
1979-06-09|India v. West Indies|Edgbaston|Birmingham|England|India|West Indies|West Indies|9 wickets
1979-06-09|New Zealand v. Sri Lanka|Trent Bridge|Nottingham|England|New Zealand|Sri Lanka|New Zealand|9 wickets
1979-06-09|England v. Australia|Lord's|London|England|England|Australia|England|6 wickets
1979-06-09|Canada v. Pakistan|Headingley|Leeds|England|Canada|Pakistan|Pakistan|8 wickets
1979-06-13|India v. New Zealand|Headingley|Leeds|England|India|New Zealand|New Zealand|8 wickets
1979-06-13|Australia v. Pakistan|Trent Bridge|Nottingham|England|Australia|Pakistan|Pakistan|89 runs
1979-06-13|England v. Canada|Old Trafford|Manchester|England|England|Canada|England|8 wickets
1979-06-16|India v. Sri Lanka|Old Trafford|Manchester|England|India|Sri Lanka|Sri Lanka|47 runs
1979-06-16|New Zealand v. West Indies|Trent Bridge|Nottingham|England|New Zealand|West Indies|West Indies|32 runs
1979-06-16|Australia v. Canada|Edgbaston|Birmingham|England|Australia|Canada|Australia|7 wickets
1979-06-16|England v. Pakistan|Headingley|Leeds|England|England|Pakistan|England|14 runs
1979-06-20|England v. New Zealand|Old Trafford|Manchester|England|England|New Zealand|England|9 runs
1979-06-20|Pakistan v. West Indies|Kennington Oval|London|England|Pakistan|West Indies|West Indies|43 runs
1979-06-23|England v. West Indies|Lord's|London|England|England|West Indies|West Indies|92 runs
1980-01-14|Australia v. England|Sydney Cricket Ground|Sydney|Australia|Australia|England|England|2 wickets
1980-01-16|England v. West Indies|Adelaide Oval|Adelaide|Australia|England|West Indies|West Indies|107 runs
1980-01-18|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|9 runs
1980-01-20|England v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|England|West Indies|West Indies|2 runs
1980-01-22|England v. West Indies|Sydney Cricket Ground|Sydney|Australia|England|West Indies|West Indies|8 wickets
1980-02-06|New Zealand v. West Indies|AMI Stadium|Christchurch|New Zealand|New Zealand|West Indies|New Zealand|1 wicket
1980-05-28|England v. West Indies|Headingley|Leeds|England|England|West Indies|West Indies|24 runs
1980-05-30|England v. West Indies|Lord's|London|England|England|West Indies|England|3 wickets
1980-08-20|England v. Australia|Kennington Oval|London|England|England|Australia|England|23 runs
1980-08-22|England v. Australia|Edgbaston|Birmingham|England|England|Australia|England|47 runs
1980-11-21|Pakistan v. West Indies|National Stadium|Karachi|Pakistan|Pakistan|West Indies|West Indies|4 wickets
1980-11-23|Australia v. New Zealand|Adelaide Oval|Adelaide|Australia|Australia|New Zealand|New Zealand|3 wickets
1980-11-25|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|Australia|94 runs
1980-12-05|Pakistan v. West Indies|Jinnah Stadium (Sialkot)|Sialkot|Pakistan|Pakistan|West Indies|West Indies|7 wickets
1980-12-06|Australia v. India|Melbourne Cricket Ground|Melbourne|Australia|Australia|India|India|66 runs
1980-12-07|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|Australia|4 wickets
1980-12-09|India v. New Zealand|WACA Ground|Perth|Australia|India|New Zealand|India|5 runs
1980-12-18|Australia v. India|Sydney Cricket Ground|Sydney|Australia|Australia|India|Australia|9 wickets
1980-12-19|Pakistan v. West Indies|Gaddafi Stadium|Lahore|Pakistan|Pakistan|West Indies|West Indies|7 runs
1980-12-21|India v. New Zealand|Brisbane Cricket Ground|Brisbane|Australia|India|New Zealand|New Zealand|3 wickets
1980-12-23|India v. New Zealand|Adelaide Oval|Adelaide|Australia|India|New Zealand|India|6 runs
1981-01-08|Australia v. India|Sydney Cricket Ground|Sydney|Australia|Australia|India|Australia|9 wickets
1981-01-10|India v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|India|New Zealand|New Zealand|10 wickets
1981-01-11|Australia v. India|Melbourne Cricket Ground|Melbourne|Australia|Australia|India|Australia|7 wickets
1981-01-13|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|New Zealand|1 run
1981-01-15|Australia v. India|Sydney Cricket Ground|Sydney|Australia|Australia|India|Australia|27 runs
1981-01-18|India v. New Zealand|Brisbane Cricket Ground|Brisbane|Australia|India|New Zealand|New Zealand|22 runs
1981-01-29|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|New Zealand|78 runs
1981-01-31|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|Australia|7 wickets
1981-02-01|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|Australia|6 runs
1981-02-03|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|Australia|6 wickets
1981-02-04|West Indies v. England|Arnos Vale Ground|Kingstown, St. Vincent|West Indies|West Indies|England|West Indies|2 runs
1981-02-14|New Zealand v. India|Eden Park|Auckland|New Zealand|New Zealand|India|New Zealand|78 runs
1981-02-15|New Zealand v. India|Seddon Park|Hamilton|New Zealand|New Zealand|India|New Zealand|57 runs
1981-02-26|West Indies v. England|Albion Sports Complex|Albion, Berbice, Guyana|West Indies|West Indies|England|West Indies|6 wickets
1981-06-04|England v. Australia|Lord's|London|England|England|Australia|England|6 wickets
1981-06-06|England v. Australia|Edgbaston|Birmingham|England|England|Australia|Australia|2 runs
1981-06-08|England v. Australia|Headingley|Leeds|England|England|Australia|Australia|71 runs
1981-11-21|Pakistan v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Pakistan|West Indies|West Indies|18 runs
