DATE|COUNTRIES|GROUND|CITY|COUNTRY|TEAM.1|TEAM.2|WINNER|MARGIN
1996-03-06|India v. Zimbabwe|Green Park|Kanpur|India|India|Zimbabwe|India|40 runs
1996-03-06|Pakistan v. New Zealand|Gaddafi Stadium|Lahore|Pakistan|Pakistan|New Zealand|Pakistan|46 runs
1996-03-09|England v. Sri Lanka|Iqbal Stadium|Faisalabad (Lyallpur)|Pakistan|England|Sri Lanka|Sri Lanka|5 wickets
1996-03-09|India v. Pakistan|M Chinnaswamy Stadium|Bengaluru, Bangalore|India|India|Pakistan|India|39 runs
1996-03-11|South Africa v. West Indies|National Stadium|Karachi|Pakistan|South Africa|West Indies|West Indies|19 runs
1996-03-11|Australia v. New Zealand|MA Chidambaram Stadium|Chennai|India|Australia|New Zealand|Australia|6 wickets
1996-03-14|Australia v. West Indies|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|Australia|West Indies|Australia|5 runs
1996-03-17|Australia v. Sri Lanka|Gaddafi Stadium|Lahore|Pakistan|Australia|Sri Lanka|Sri Lanka|7 wickets
1996-03-26|West Indies v. New Zealand|Sabina Park|Kingston, Jamaica|West Indies|West Indies|New Zealand|West Indies|1 wicket
1996-03-29|West Indies v. New Zealand|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|New Zealand|New Zealand|4 wickets
1996-03-30|West Indies v. New Zealand|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|New Zealand|West Indies|7 wickets
1996-04-02|Pakistan v. Sri Lanka|Padang Cricket Ground|Singapore|Singapore|Pakistan|Sri Lanka|Sri Lanka|34 runs
1996-04-03|India v. Sri Lanka|Padang Cricket Ground|Singapore|Singapore|India|Sri Lanka|India|12 runs
1996-04-03|West Indies v. New Zealand|Bourda|Georgetown, Guyana|West Indies|West Indies|New Zealand|New Zealand|4 runs
1996-04-05|India v. Pakistan|Padang Cricket Ground|Singapore|Singapore|India|Pakistan|Pakistan|8 wickets
1996-04-06|West Indies v. New Zealand|Arnos Vale Ground|Kingstown, St. Vincent|West Indies|West Indies|New Zealand|West Indies|7 wickets
1996-04-07|Pakistan v. Sri Lanka|Padang Cricket Ground|Singapore|Singapore|Pakistan|Sri Lanka|Pakistan|43 runs
1996-04-12|India v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|Pakistan|Pakistan|38 runs
1996-04-13|West Indies v. Sri Lanka|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|Sri Lanka|Sri Lanka|35 runs
1996-04-13|Pakistan v. South Africa|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|South Africa|South Africa|143 runs
1996-04-14|India v. South Africa|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|South Africa|South Africa|80 runs
1996-04-15|India v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|Pakistan|India|28 runs
1996-04-16|Pakistan v. South Africa|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|South Africa|South Africa|8 wickets
1996-04-17|India v. South Africa|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|South Africa|South Africa|5 wickets
1996-04-19|India v. South Africa|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|South Africa|South Africa|38 runs
1996-05-25|England v. India|Headingley|Leeds|England|England|India|England|6 wickets
1996-05-26|England v. India|Old Trafford|Manchester|England|England|India|England|4 wickets
1996-08-26|Australia v. Zimbabwe|R Premadasa Stadium|Colombo|Sri Lanka|Australia|Zimbabwe|Australia|125 runs
1996-08-28|Sri Lanka v. India|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|9 wickets
1996-08-29|England v. Pakistan|Old Trafford|Manchester|England|England|Pakistan|England|5 wickets
1996-08-30|Sri Lanka v. Australia|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Australia|Sri Lanka|4 wickets
1996-08-31|England v. Pakistan|Edgbaston|Birmingham|England|England|Pakistan|England|107 runs
1996-09-01|England v. Pakistan|Trent Bridge|Nottingham|England|England|Pakistan|Pakistan|2 wickets
1996-09-01|India v. Zimbabwe|Sinhalese Sports Club Ground|Colombo|Sri Lanka|India|Zimbabwe|India|7 wickets
1996-09-03|Sri Lanka v. Zimbabwe|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|Zimbabwe|Sri Lanka|6 wickets
1996-09-06|Australia v. India|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Australia|India|Australia|3 wickets
1996-09-07|Sri Lanka v. Australia|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Australia|Sri Lanka|50 runs
1996-09-16|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|India|8 wickets
1996-09-17|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|Pakistan|2 wickets
1996-09-18|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|India|55 runs
1996-09-21|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|Pakistan|97 runs
1996-09-23|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|Pakistan|52 runs
1996-09-28|Kenya v. Sri Lanka|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Sri Lanka|Sri Lanka|7 wickets
1996-09-29|Pakistan v. South Africa|Gymkhana Club Ground|Nairobi|Kenya|Pakistan|South Africa|South Africa|62 runs
1996-10-01|South Africa v. Sri Lanka|Nairobi Club Ground|Nairobi|Kenya|South Africa|Sri Lanka|Sri Lanka|2 wickets
1996-10-02|Kenya v. Pakistan|Aga Khan Sports Club Ground|Nairobi|Kenya|Kenya|Pakistan|Pakistan|4 wickets
1996-10-03|Kenya v. South Africa|Gymkhana Club Ground|Nairobi|Kenya|Kenya|South Africa|South Africa|202 runs
1996-10-04|Pakistan v. Sri Lanka|Gymkhana Club Ground|Nairobi|Kenya|Pakistan|Sri Lanka|Pakistan|82 runs
1996-10-06|Pakistan v. South Africa|Gymkhana Club Ground|Nairobi|Kenya|Pakistan|South Africa|South Africa|7 wickets
1996-10-17|India v. South Africa|Lal Bahadur Shastri Stadium|Hyderabad (Deccan)|India|India|South Africa|South Africa|47 runs
1996-10-19|Australia v. South Africa|Nehru Stadium (Indore)|Indore|India|Australia|South Africa|South Africa|7 wickets
1996-10-21|India v. Australia|M Chinnaswamy Stadium|Bengaluru, Bangalore|India|India|Australia|India|2 wickets
1996-10-23|India v. South Africa|Sawai Mansingh Stadium|Jaipur|India|India|South Africa|South Africa|27 runs
1996-10-25|Australia v. South Africa|Nahar Singh Stadium|Faridabad|India|Australia|South Africa|South Africa|2 wickets
1996-10-29|India v. South Africa|Madhavrao Scindia Cricket Ground|Rajkot|India|India|South Africa|South Africa|5 wickets
1996-10-30|Pakistan v. Zimbabwe|Bugti Stadium|Quetta|Pakistan|Pakistan|Zimbabwe|Pakistan|3 wickets
1996-11-01|Pakistan v. Zimbabwe|Gaddafi Stadium|Lahore|Pakistan|Pakistan|Zimbabwe|Pakistan|9 wickets
1996-11-01|Australia v. South Africa|Nehru Stadium (Guwahati)|Guwahati|India|Australia|South Africa|South Africa|8 wickets
1996-11-03|Pakistan v. Zimbabwe|Arbab Niaz Stadium|Peshawar|Pakistan|Pakistan|Zimbabwe|Pakistan|78 runs
1996-11-03|India v. Australia|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|India|Australia|India|5 runs
1996-11-06|India v. South Africa|Wankhede Stadium|Mumbai|India|India|South Africa|India|35 runs
1996-11-07|New Zealand v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|New Zealand|Sri Lanka|New Zealand|29 runs
1996-11-08|Pakistan v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Sri Lanka|Sri Lanka|75 runs
1996-11-10|New Zealand v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|New Zealand|Pakistan|Pakistan|4 wickets
1996-11-11|New Zealand v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|New Zealand|Sri Lanka||Tied
1996-11-12|Pakistan v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Sri Lanka|Pakistan|8 wickets
1996-11-13|New Zealand v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|New Zealand|Pakistan|Pakistan|4 wickets
1996-11-15|New Zealand v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|New Zealand|Pakistan|Pakistan|41 runs
1996-12-04|Pakistan v. New Zealand|Jinnah Stadium (Gujwranwala)|Gujwranwala|Pakistan|Pakistan|New Zealand|Pakistan|11 runs
1996-12-06|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|Australia|5 wickets
1996-12-06|Pakistan v. New Zealand|Jinnah Stadium (Sialkot)|Sialkot|Pakistan|Pakistan|New Zealand|Pakistan|46 runs
1996-12-08|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|8 wickets
1996-12-08|Pakistan v. New Zealand|National Stadium|Karachi|Pakistan|Pakistan|New Zealand|New Zealand|7 wickets
1996-12-14|India v. South Africa|Wankhede Stadium|Mumbai|India|India|South Africa|India|74 runs
1996-12-15|Zimbabwe v. England|Queens Sports Club|Bulawayo|Zimbabwe|Zimbabwe|England|Zimbabwe|2 wickets
1996-12-15|Australia v. Pakistan|Adelaide Oval|Adelaide|Australia|Australia|Pakistan|Pakistan|12 runs
1996-12-17|Pakistan v. West Indies|Adelaide Oval|Adelaide|Australia|Pakistan|West Indies|West Indies|7 wickets
1997-01-01|Zimbabwe v. England|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|England|Zimbabwe|7 runs
1997-01-01|Australia v. Pakistan|Sydney Cricket Ground|Sydney|Australia|Australia|Pakistan|Pakistan|4 wickets
1997-01-03|Zimbabwe v. England|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|England|Zimbabwe|131 runs
1997-01-03|Pakistan v. West Indies|Brisbane Cricket Ground|Brisbane|Australia|Pakistan|West Indies|West Indies|6 wickets
1997-01-05|Australia v. West Indies|Brisbane Cricket Ground|Brisbane|Australia|Australia|West Indies|West Indies|7 wickets
1997-01-07|Australia v. Pakistan|Bellerive Oval|Hobart|Australia|Australia|Pakistan|Pakistan|29 runs
1997-01-10|Pakistan v. West Indies|WACA Ground|Perth|Australia|Pakistan|West Indies|West Indies|5 wickets
1997-01-12|Australia v. West Indies|WACA Ground|Perth|Australia|Australia|West Indies|West Indies|4 wickets
1997-01-14|Pakistan v. West Indies|Sydney Cricket Ground|Sydney|Australia|Pakistan|West Indies|Pakistan|8 wickets
1997-01-16|Australia v. Pakistan|Melbourne Cricket Ground|Melbourne|Australia|Australia|Pakistan|Australia|3 wickets
1997-01-18|Pakistan v. West Indies|Sydney Cricket Ground|Sydney|Australia|Pakistan|West Indies|Pakistan|4 wickets
1997-01-20|Pakistan v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Pakistan|West Indies|Pakistan|62 runs
1997-01-23|South Africa v. India|Mangaung Oval|Bloemfontein|South Africa|South Africa|India|South Africa|6 wickets
1997-01-25|South Africa v. Zimbabwe|SuperSport Park|Centurion|South Africa|South Africa|Zimbabwe|South Africa|5 wickets
1997-01-27|India v. Zimbabwe|Boland Park|Paarl|South Africa|India|Zimbabwe||Tied
1997-01-29|South Africa v. Zimbabwe|Newlands|Cape Town|South Africa|South Africa|Zimbabwe|South Africa|5 wickets
1997-01-31|South Africa v. Zimbabwe|Wanderers Stadium|Johannesburg|South Africa|South Africa|Zimbabwe|South Africa|4 wickets
1997-02-02|South Africa v. India|St George's Park|Port Elizabeth|South Africa|South Africa|India|South Africa|6 wickets
1997-02-04|South Africa v. India|Buffalo Park|East London|South Africa|South Africa|India|South Africa|6 wickets
1997-02-07|India v. Zimbabwe|SuperSport Park|Centurion|South Africa|India|Zimbabwe|Zimbabwe|3 wickets
1997-02-09|India v. Zimbabwe|Willowmoore Park|Benoni|South Africa|India|Zimbabwe|India|6 wickets
1997-02-13|South Africa v. India|Kingsmead|Durban|South Africa|South Africa|India|South Africa|17 runs
1997-02-15|Zimbabwe v. India|Queens Sports Club|Bulawayo|Zimbabwe|Zimbabwe|India|Zimbabwe|8 wickets
1997-02-20|New Zealand v. England|AMI Stadium|Christchurch|New Zealand|New Zealand|England|England|4 wickets
1997-02-23|New Zealand v. England|Eden Park|Auckland|New Zealand|New Zealand|England|England|6 wickets
1997-02-26|New Zealand v. England|McLean Park|Napier|New Zealand|New Zealand|England||Tied
1997-03-02|New Zealand v. England|Eden Park|Auckland|New Zealand|New Zealand|England|New Zealand|9 runs
1997-03-04|New Zealand v. England|Basin Reserve|Wellington|New Zealand|New Zealand|England|New Zealand|28 runs
1997-03-25|New Zealand v. Sri Lanka|AMI Stadium|Christchurch|New Zealand|New Zealand|Sri Lanka|Sri Lanka|6 wickets
1997-03-27|New Zealand v. Sri Lanka|Basin Reserve|Wellington|New Zealand|New Zealand|Sri Lanka|New Zealand|69 runs
1997-03-29|South Africa v. Australia|Buffalo Park|East London|South Africa|South Africa|Australia|South Africa|6 wickets
1997-03-31|South Africa v. Australia|St George's Park|Port Elizabeth|South Africa|South Africa|Australia|Australia|7 wickets
1997-04-02|South Africa v. Australia|Newlands|Cape Town|South Africa|South Africa|Australia|South Africa|46 runs
1997-04-03|Sri Lanka v. Zimbabwe|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Sri Lanka|Zimbabwe|Sri Lanka|7 wickets
1997-04-04|Pakistan v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Sri Lanka|Sri Lanka|19 runs
1997-04-05|South Africa v. Australia|Kingsmead|Durban|South Africa|South Africa|Australia|Australia|15 runs
1997-04-06|Pakistan v. Zimbabwe|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Zimbabwe|Pakistan|93 runs
1997-04-07|Pakistan v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Sri Lanka|Sri Lanka|51 runs
1997-04-08|South Africa v. Australia|Wanderers Stadium|Johannesburg|South Africa|South Africa|Australia|Australia|8 runs
1997-04-08|Sri Lanka v. Zimbabwe|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Sri Lanka|Zimbabwe|Zimbabwe|50 runs
1997-04-09|Pakistan v. Zimbabwe|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Zimbabwe|Pakistan|32 runs
1997-04-10|South Africa v. Australia|SuperSport Park|Centurion|South Africa|South Africa|Australia|Australia|5 wickets
1997-04-11|Pakistan v. Sri Lanka|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|Sri Lanka|Sri Lanka|4 wickets
1997-04-13|South Africa v. Australia|Mangaung Oval|Bloemfontein|South Africa|South Africa|Australia|South Africa|109 runs
1997-04-26|West Indies v. India|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|India|West Indies|8 wickets
1997-04-27|West Indies v. India|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|India|India|10 wickets
1997-04-30|West Indies v. India|Arnos Vale Ground|Kingstown, St. Vincent|West Indies|West Indies|India|West Indies|18 runs
1997-05-03|West Indies v. India|Kensington Oval|Bridgetown, Barbados|West Indies|West Indies|India|West Indies|10 wickets
1997-05-09|New Zealand v. Pakistan|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|New Zealand|Pakistan|New Zealand|22 runs
1997-05-12|Pakistan v. Sri Lanka|Captain Roop Singh Stadium|Gwalior|India|Pakistan|Sri Lanka|Pakistan|30 runs
1997-05-14|India v. New Zealand|M Chinnaswamy Stadium|Bengaluru, Bangalore|India|India|New Zealand|India|8 wickets
1997-05-17|India v. Sri Lanka|Wankhede Stadium|Mumbai|India|India|Sri Lanka|Sri Lanka|5 wickets
1997-05-20|New Zealand v. Sri Lanka|Lal Bahadur Shastri Stadium|Hyderabad (Deccan)|India|New Zealand|Sri Lanka|Sri Lanka|52 runs
1997-05-21|India v. Pakistan|MA Chidambaram Stadium|Chennai|India|India|Pakistan|Pakistan|35 runs
1997-05-22|England v. Australia|Headingley|Leeds|England|England|Australia|England|6 wickets
1997-05-24|England v. Australia|Kennington Oval|London|England|England|Australia|England|6 wickets
1997-05-24|Pakistan v. Sri Lanka|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|Pakistan|Sri Lanka|Sri Lanka|115 runs
1997-05-25|England v. Australia|Lord's|London|England|England|Australia|England|6 wickets
1997-05-27|Pakistan v. Sri Lanka|Eden Gardens|Kolkata|India|Pakistan|Sri Lanka|Sri Lanka|85 runs
1997-06-06|West Indies v. Sri Lanka|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|Sri Lanka|West Indies|35 runs
1997-07-14|Sri Lanka v. Pakistan|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Pakistan|Sri Lanka|15 runs
1997-07-16|Bangladesh v. Pakistan|R Premadasa Stadium|Colombo|Sri Lanka|Bangladesh|Pakistan|Pakistan|109 runs
1997-07-18|Sri Lanka v. India|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|6 wickets
1997-07-22|Sri Lanka v. Bangladesh|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|Bangladesh|Sri Lanka|103 runs
1997-07-24|Bangladesh v. India|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Bangladesh|India|India|9 wickets
1997-07-26|Sri Lanka v. India|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|8 wickets
1997-08-17|Sri Lanka v. India|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|2 runs
1997-08-20|Sri Lanka v. India|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|7 wickets
1997-08-24|Sri Lanka v. India|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|9 runs
1997-09-13|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|India|20 runs
1997-09-14|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|India|7 wickets
1997-09-18|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|India|34 runs
1997-09-20|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|India|7 wickets
1997-09-21|India v. Pakistan|Cricket, Skating & Curling Club|Toronto|Canada|India|Pakistan|Pakistan|5 wickets
1997-09-28|Pakistan v. India|Niaz Stadium|Hyderabad (Sind)|Pakistan|Pakistan|India|Pakistan|5 wickets
1997-09-30|Pakistan v. India|National Stadium|Karachi|Pakistan|Pakistan|India|India|4 wickets
1997-10-01|Zimbabwe v. New Zealand|Queens Sports Club|Bulawayo|Zimbabwe|Zimbabwe|New Zealand||Tied
1997-10-02|Pakistan v. India|Gaddafi Stadium|Lahore|Pakistan|Pakistan|India|Pakistan|9 wickets
1997-10-04|Zimbabwe v. New Zealand|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|New Zealand|Zimbabwe|3 wickets
1997-10-05|Zimbabwe v. New Zealand|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|New Zealand|New Zealand|83 runs
1997-10-10|Kenya v. Bangladesh|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Bangladesh|Kenya|150 runs
1997-10-11|Bangladesh v. Zimbabwe|Gymkhana Club Ground|Nairobi|Kenya|Bangladesh|Zimbabwe|Zimbabwe|48 runs
1997-10-12|Kenya v. Zimbabwe|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Zimbabwe|Zimbabwe|6 wickets
1997-10-14|Bangladesh v. Zimbabwe|Aga Khan Sports Club Ground|Nairobi|Kenya|Bangladesh|Zimbabwe|Zimbabwe|192 runs
1997-10-15|Kenya v. Bangladesh|Aga Khan Sports Club Ground|Nairobi|Kenya|Kenya|Bangladesh|Kenya|8 wickets
1997-10-16|Kenya v. Zimbabwe|Aga Khan Sports Club Ground|Nairobi|Kenya|Kenya|Zimbabwe|Zimbabwe|7 wickets
1997-10-18|Kenya v. Zimbabwe|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Zimbabwe|Zimbabwe|83 runs
1997-10-19|Kenya v. Zimbabwe|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Zimbabwe|Zimbabwe|82 runs
1997-11-01|Sri Lanka v. West Indies|Gaddafi Stadium|Lahore|Pakistan|Sri Lanka|West Indies|Sri Lanka|7 wickets
1997-11-02|Pakistan v. South Africa|Gaddafi Stadium|Lahore|Pakistan|Pakistan|South Africa|South Africa|9 runs
1997-11-03|South Africa v. West Indies|Gaddafi Stadium|Lahore|Pakistan|South Africa|West Indies|South Africa|5 wickets
1997-11-04|Pakistan v. West Indies|Gaddafi Stadium|Lahore|Pakistan|Pakistan|West Indies|Pakistan|8 wickets
1997-11-05|Pakistan v. Sri Lanka|Gaddafi Stadium|Lahore|Pakistan|Pakistan|Sri Lanka|Sri Lanka|8 wickets
1997-11-06|South Africa v. Sri Lanka|Gaddafi Stadium|Lahore|Pakistan|South Africa|Sri Lanka|South Africa|66 runs
1997-11-08|South Africa v. Sri Lanka|Gaddafi Stadium|Lahore|Pakistan|South Africa|Sri Lanka|South Africa|4 wickets
1997-12-04|Australia v. South Africa|Sydney Cricket Ground|Sydney|Australia|Australia|South Africa|South Africa|67 runs
1997-12-06|New Zealand v. South Africa|Adelaide Oval|Adelaide|Australia|New Zealand|South Africa|New Zealand|47 runs
1997-12-07|Australia v. New Zealand|Adelaide Oval|Adelaide|Australia|Australia|New Zealand|Australia|3 wickets
1997-12-09|Australia v. South Africa|Melbourne Cricket Ground|Melbourne|Australia|Australia|South Africa|South Africa|45 runs
1997-12-11|England v. India|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|England|India|England|7 runs
1997-12-11|New Zealand v. South Africa|Bellerive Oval|Hobart|Australia|New Zealand|South Africa|South Africa|1 run
1997-12-12|Pakistan v. West Indies|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|Pakistan|West Indies|West Indies|43 runs
1997-12-13|England v. West Indies|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|England|West Indies|England|4 wickets
1997-12-14|India v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|Pakistan|Pakistan|4 wickets
1997-12-15|England v. Pakistan|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|England|Pakistan|England|8 runs
1997-12-16|India v. West Indies|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|India|West Indies|West Indies|41 runs
1997-12-17|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|Australia|6 wickets
1997-12-19|England v. West Indies|Sharjah Cricket Stadium|Sharjah|United Arab Emirates|England|West Indies|England|3 wickets
1997-12-22|India v. Sri Lanka|Nehru Stadium (Guwahati)|Guwahati|India|India|Sri Lanka|India|7 wickets
1997-12-28|India v. Sri Lanka|Nehru Stadium (Margao)|Margao|India|India|Sri Lanka|Sri Lanka|5 wickets
1998-01-09|New Zealand v. South Africa|Brisbane Cricket Ground|Brisbane|Australia|New Zealand|South Africa|South Africa|2 runs
1998-01-10|Bangladesh v. India|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|Bangladesh|India|India|4 wickets
1998-01-11|India v. Pakistan|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|India|Pakistan|India|18 runs
1998-01-11|Australia v. South Africa|Brisbane Cricket Ground|Brisbane|Australia|Australia|South Africa|South Africa|5 wickets
1998-01-12|Bangladesh v. Pakistan|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|Bangladesh|Pakistan|Pakistan|9 wickets
1998-01-14|India v. Pakistan|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|India|Pakistan|India|8 wickets
1998-01-14|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|Australia|131 runs
1998-01-16|India v. Pakistan|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|India|Pakistan|Pakistan|6 wickets
1998-01-16|New Zealand v. South Africa|WACA Ground|Perth|Australia|New Zealand|South Africa|South Africa|67 runs
1998-01-18|India v. Pakistan|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|India|Pakistan|India|3 wickets
1998-01-18|Australia v. South Africa|WACA Ground|Perth|Australia|Australia|South Africa|South Africa|7 wickets
1998-01-21|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|New Zealand|4 wickets
1998-01-22|Sri Lanka v. Zimbabwe|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|Zimbabwe|Sri Lanka|5 wickets
1998-01-23|Australia v. South Africa|Melbourne Cricket Ground|Melbourne|Australia|Australia|South Africa|South Africa|6 runs
1998-01-24|Sri Lanka v. Zimbabwe|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Zimbabwe|Sri Lanka|5 wickets
1998-01-26|Sri Lanka v. Zimbabwe|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|Zimbabwe|Sri Lanka|4 wickets
1998-01-26|Australia v. South Africa|Sydney Cricket Ground|Sydney|Australia|Australia|South Africa|Australia|7 wickets
1998-01-27|Australia v. South Africa|Sydney Cricket Ground|Sydney|Australia|Australia|South Africa|Australia|14 runs
1998-02-04|New Zealand v. Zimbabwe|Seddon Park|Hamilton|New Zealand|New Zealand|Zimbabwe|New Zealand|40 runs
1998-02-06|New Zealand v. Zimbabwe|Basin Reserve|Wellington|New Zealand|New Zealand|Zimbabwe|New Zealand|8 wickets
1998-02-08|New Zealand v. Australia|AMI Stadium|Christchurch|New Zealand|New Zealand|Australia|Australia|7 wickets
1998-02-10|New Zealand v. Australia|Basin Reserve|Wellington|New Zealand|New Zealand|Australia|Australia|66 runs
1998-02-12|New Zealand v. Australia|McLean Park|Napier|New Zealand|New Zealand|Australia|New Zealand|7 wickets
1998-02-14|New Zealand v. Australia|Eden Park|Auckland|New Zealand|New Zealand|Australia|New Zealand|30 runs
1998-03-04|New Zealand v. Zimbabwe|AMI Stadium|Christchurch|New Zealand|New Zealand|Zimbabwe|Zimbabwe|3 wickets
1998-03-06|New Zealand v. Zimbabwe|McLean Park|Napier|New Zealand|New Zealand|Zimbabwe|New Zealand|9 wickets
1998-03-08|New Zealand v. Zimbabwe|Eden Park|Auckland|New Zealand|New Zealand|Zimbabwe|New Zealand|2 runs
1998-03-28|Zimbabwe v. Pakistan|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Pakistan|Pakistan|4 wickets
1998-03-29|West Indies v. England|Kensington Oval|Bridgetown, Barbados|West Indies|West Indies|England|England|16 runs
1998-03-29|Zimbabwe v. Pakistan|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Pakistan|Pakistan|4 wickets
1998-04-01|India v. Australia|Nehru Stadium (Kochi)|Kochi|India|India|Australia|India|41 runs
1998-04-01|West Indies v. England|Kensington Oval|Bridgetown, Barbados|West Indies|West Indies|England|West Indies|1 wicket
1998-04-03|South Africa v. Pakistan|Kingsmead|Durban|South Africa|South Africa|Pakistan|South Africa|52 runs
1998-04-03|Australia v. Zimbabwe|Sardar Patel Stadium|Ahmedabad|India|Australia|Zimbabwe|Australia|13 runs
1998-04-04|West Indies v. England|Arnos Vale Ground|Kingstown, St. Vincent|West Indies|West Indies|England|West Indies|5 wickets
