NAME|BORN|COUNTRY|TEST_COUNT|ODI_COUNT|T20_COUNT
Poulose, A|22/07/1986|Oman|0|0|3
Powell, K O A|06/03/1990|West Indies|40|46|1
Powell, R|23/07/1993|West Indies|0|34|20
Poynter, S W|18/10/1990|Ireland|0|21|25
Pradeep, N|19/10/1986|Sri Lanka|28|34|9
Prasanna, S|27/06/1985|Sri Lanka|1|40|20
Pretorius, D|29/03/1989|South Africa|0|18|2
Priyanjan, S M A|14/08/1989|Sri Lanka|0|23|3
Pujara, C A|25/01/1988|India|68|5|0
Pushpakumara, P M|24/03/1987|Sri Lanka|4|2|0
Qadeer Ahmed|15/11/1985|United Arab Emirates|0|8|8
Qasim Zia|21/01/1987|Bahrain|0|0|3
Rabada, K|25/05/1995|South Africa|37|65|18
Rahane, A M||India|56|90|20
Rahat Ali|12/09/1988|Pakistan|21|14|0
Rahmat Shah|06/07/1993|Afghanistan|1|58|0
Rahul, K L|18/04/1992|India|34|14|27
Raina, S K|27/11/1986|India|18|226|78
Rajbanshi, L N|27/02/1999|Nepal|0|3|3
Rajitha, C A K|01/06/1993|Sri Lanka|6|6|5
Rambukwella, R L B|08/09/1991|Sri Lanka|0|0|2
Ramdin, D|13/10/1985|West Indies|74|139|68
Rameez Shahzad|30/11/1987|United Arab Emirates|0|15|9
Rance, S H A|23/08/1987|New Zealand|0|2|5
Randiv, S|30/01/1985|Sri Lanka|12|31|7
Rankin, D A|02/08/1987|Ireland|0|0|3
Rankin, W B|05/07/1984|Ireland|2|65|35
Rashid, A U|17/02/1988|England|19|83|36
Rashid Khan||Afghanistan|1|57|38
Raval, J A|22/09/1988|New Zealand|18|0|0
Ravu, D A|03/05/1994|Papua New Guinea|0|4|0
Rayudu, A T|23/09/1985|India|0|55|6
Regmi, B|06/04/1986|Nepal|0|4|13
Reifer, R A|11/05/1991|West Indies|1|0|0
Renshaw, M T|28/03/1996|Australia|11|0|0
Reva, J B|23/09/1990|Papua New Guinea|0|9|6
Richardson, J A|20/09/1996|Australia|2|10|9
Richardson, K W|12/02/1991|Australia|0|18|9
Rippon, M J|14/09/1991|Netherlands|0|6|18
Roach, K A J|30/06/1988|West Indies|53|80|11
Roche, L N|14/09/1999|Zimbabwe|0|3|0
Rohan Mustafa|07/10/1988|United Arab Emirates|0|27|25
Roland-Jones, T S|29/01/1988|England|4|1|0
Ronchi, L|23/04/1981|New Zealand|4|85|33
Root, J E|30/12/1990|England|80|126|31
Rossouw, R R|09/10/1989|South Africa|0|36|15
Roy, J J|21/07/1990|England|0|73|32
Rubel Hossain|01/01/1990|Bangladesh|26|96|27
Rumman Raees|18/10/1991|Pakistan|0|9|8
Russell, A D||West Indies|1|52|47
Rutherford, S E|15/08/1998|West Indies|0|0|1
Sabbir Rahman|22/11/1991|Bangladesh|11|57|41
Saeed, S|14/03/1996|Maldives|0|0|2
Sagar Pun|01/03/1993|Nepal|0|1|9
Sah, A K|17/11/1998|Nepal|0|2|1
Saha, W P||India|32|9|0
Sahibzada Farhan|06/03/1996|Pakistan|0|0|3
Sajid Cheema|20/02/1980|Saudi Arabia|0|0|5
Samarawickrama, S|30/08/1995|Sri Lanka|4|6|6
Sami Aslam|12/12/1995|Pakistan|13|4|0
Samiullah Shinwari|31/12/1987|Afghanistan|0|81|62
Samuels, M N|05/02/1981|West Indies|71|207|67
Sandakan, P A D L R|10/06/1991|Sri Lanka|11|20|6
Sandaruwan, R|22/06/1992|Kuwait|0|0|4
Sanjaya, J R M V B|10/02/1992|Sri Lanka|0|0|8
Santner, M J|05/02/1992|New Zealand|17|59|31
Saqib Zulfiqar|28/03/1997|Netherlands|0|0|2
Saqlain Haider|10/08/1987|United Arab Emirates|0|5|6
Saqlain Sajib|01/12/1988|Bangladesh|0|0|1
Sarfaraz Ali|20/10/1981|Bahrain|0|0|4
Sarfraz Ahmed|22/05/1987|Pakistan|49|101|54
Sarwar, M M|29/10/1997|Kuwait|0|0|4
Sayed Shirzad|01/10/1994|Afghanistan|0|1|4
Sayers, C J|31/08/1987|Australia|1|0|0
Seelaar, P M|02/07/1987|Netherlands|0|39|47
Seifert, T L|14/12/1994|New Zealand|0|3|11
Senanayake, S M S M|09/02/1985|Sri Lanka|1|49|24
Shabir Noori|22/02/1992|Afghanistan|0|10|1
Shadab Khan|04/10/1998|Pakistan|5|34|32
Shadman Islam|18/05/1995|Bangladesh|3|0|0
Shafiqullah|07/08/1989|Afghanistan|0|24|44
Shafiul Islam|06/10/1989|Bangladesh|11|56|12
Shah, K D|09/12/1995|Hong Kong|0|10|15
Shahbaz Badar|15/09/1991|Bahrain|0|0|3
Shaheen Shah Afridi|06/04/2000|Pakistan|3|10|9
Shahid Wasif|15/05/1997|Hong Kong|0|10|4
Shaiman Anwar|15/03/1979|United Arab Emirates|0|36|30
Shakib Al Hasan||Bangladesh|55|195|72
Shamsi, T|18/02/1990|South Africa|2|15|12
Shamsudheen Purat|13/09/1989|Saudi Arabia|0|0|3
Shan Masood|14/10/1989|Pakistan|15|0|0
Shanaka, M D|09/09/1991|Sri Lanka|3|19|27
Shankar, V||India|0|9|9
Shannon, J N K|12/02/1990|Ireland|0|1|8
Shapoor Zadran|01/01/1985|Afghanistan|0|44|34
Sharafuddin Ashraf|10/01/1995|Afghanistan|0|14|8
Sharif, S M|24/05/1991|Scotland|0|36|32
Sharjeel Khan|14/08/1989|Pakistan|1|25|15
Sharma, I|02/09/1988|India|90|80|14
Sharma, R G||India|27|206|94
Shaw, P P|09/11/1999|India|2|0|0
Sheeli, D|20/11/1990|Kuwait|0|0|3
Shoaib Ali|03/05/1988|Saudi Arabia|0|0|5
Shoaib Malik|01/02/1982|Pakistan|35|279|111
Short, D J M|09/08/1990|Australia|0|4|20
Shubman Gill||India|0|2|0
Shuvagata Hom|11/11/1986|Bangladesh|8|4|5
Siaka, L|21/12/1992|Papua New Guinea|0|16|9
Sibanda, V|10/10/1983|Zimbabwe|14|127|26
Siddle, P M|25/11/1984|Australia|64|20|2
Sikandar Raza|24/04/1986|Zimbabwe|12|88|28
Sikander Zulfiqar|28/03/1997|Netherlands|0|0|7
Silva, A R S|17/11/1988|Sri Lanka|12|0|0
Silva, J K|27/05/1986|Sri Lanka|39|0|0
Simandeep Singh|20/06/1995|Hong Kong|0|1|0
Simi Singh|04/02/1987|Ireland|0|15|14
Simmons, L M P|25/01/1985|West Indies|8|68|45
Singh, V A|12/01/1989|West Indies|3|0|0
Siriwardana, T A M|04/12/1985|Sri Lanka|5|26|22
Smith, D S|21/10/1981|West Indies|43|47|6
Smith, O F|01/11/1996|West Indies|0|0|2
Smith, R A J|05/08/1994|Scotland|0|2|2
Smith, S P D||Australia|64|108|30
Smuts, J T|21/09/1988|South Africa|0|0|8
Snater, S|24/03/1996|Netherlands|0|2|6
Sodhi, I S||New Zealand|17|30|33
Sohail Khan|06/03/1984|Pakistan|9|13|5
Sohail Tanvir|12/12/1984|Pakistan|2|62|57
Sole, C B|27/02/1994|Scotland|0|8|4
Sole, T B|21/06/1996|Scotland|0|8|0
Somerville, W E R|09/08/1984|New Zealand|1|0|0
Sompal Kami|02/02/1996|Nepal|0|6|15
Soper, C A|19/11/1991|Papua New Guinea|0|12|5
Sorensen, M C|18/11/1985|Ireland|0|13|26
Soumya Sarkar|25/02/1993|Bangladesh|14|41|41
Southee, T G||New Zealand|65|139|58
Sran, B B||India|0|6|2
Sreekumar, L|15/05/1987|United Arab Emirates|0|4|1
Stanlake, B||Australia|0|7|17
Starc, M A|30/01/1990|Australia|51|75|23
Steyn, D W|27/06/1983|South Africa|93|125|42
Stirling, P R|03/09/1990|Ireland|1|105|58
Stoinis, M P||Australia|0|28|19
Stokes, B A||England|52|79|23
Stone, O P|09/10/1993|England|0|4|0
Stoneman, M D|26/06/1987|England|11|0|0
Subashis Roy|29/11/1988|Bangladesh|4|1|0
Sufyan Mehmood|21/10/1991|Oman|0|0|3
Sultan Ahmed|18/06/1977|Oman|0|0|17
Sultan Ahmed|11/10/1989|United Arab Emirates|0|0|5
Sunzamul Islam|17/01/1990|Bangladesh|1|3|0
Swepson, M J|04/10/1993|Australia|0|0|1
Tahir Dar|17/03/1975|Bahrain|0|0|4
Taijul Islam|07/02/1992|Bangladesh|24|4|0
Tamim Iqbal|20/03/1989|Bangladesh|58|189|75
Tamoor Sajjad|22/01/1992|Qatar|0|0|5
Tanbir Hayder|05/12/1991|Bangladesh|0|2|0
Tanveer Ahmed|18/09/1997|Hong Kong|0|6|5
Tanwir Afzal|12/06/1988|Hong Kong|0|20|21
Taskin Ahmed|03/04/1995|Bangladesh|5|32|19
Taylor, B R M|06/02/1986|Zimbabwe|28|188|30
Taylor, L R P L|08/03/1984|New Zealand|92|218|88
ten Doeschate, R N|30/06/1980|Netherlands|0|33|13
ter Braak, D J|27/02/1991|Netherlands|0|2|0
Terry, S P|01/08/1991|Ireland|0|5|1
Thakur, S N|16/10/1991|India|1|5|7
Tharanga, W U|02/02/1985|Sri Lanka|31|234|26
Thirimanne, H D R L|08/09/1989|Sri Lanka|33|117|26
Thomas, O R||West Indies|0|9|7
Thompson, G J|17/09/1987|Ireland|0|3|8
Thompson, S R|15/08/1991|Ireland|1|20|31
Tickner, B M|13/10/1993|New Zealand|0|0|1
Tiripano, D T|17/03/1988|Zimbabwe|7|24|9
Topley, R J W|21/02/1994|England|0|10|6
Tremain, C P|10/08/1991|Australia|0|4|0
Tucker, L|10/09/1996|Ireland|0|0|7
Turner, A J||Australia|0|3|5
Tye, A J|12/12/1986|Australia|0|7|26
Udana, I|17/02/1988|Sri Lanka|0|4|18
Umar Adam|08/12/1997|Maldives|0|0|4
Umar Akmal|26/05/1990|Pakistan|16|116|82
Umar Amin|16/10/1989|Pakistan|4|16|14
Umar Gul|14/04/1984|Pakistan|47|130|60
Unadkat, J D||India|1|7|10
Ura, T P|15/10/1989|Papua New Guinea|0|17|6
Usman Ali|03/10/1987|Saudi Arabia|0|0|5
Usman Ghani|20/11/1996|Afghanistan|0|15|19
Usman Shinwari|05/01/1994|Pakistan|0|12|15
Vala, A|05/08/1987|Papua New Guinea|0|18|9
van der Dussen, H E|07/02/1989|South Africa|0|8|5
van der Gugten, T|25/02/1991|Netherlands|0|4|29
van Meekeren, P A|29/08/1989|Netherlands|0|4|25
van Zyl, S|19/09/1987|South Africa|12|0|0
Vandersay, J D F|05/02/1990|Sri Lanka|0|11|7
Vanua, N|02/12/1993|Papua New Guinea|0|14|9
Vare, J N T|14/02/1986|Papua New Guinea|0|9|8
Vesawkar, S|06/10/1988|Nepal|0|1|11
Vihari, G H|13/10/1993|India|4|0|0
Vijay, M|01/04/1984|India|61|17|9
Vince, J M|14/03/1991|England|13|6|7
Visee, T P|21/01/1991|Netherlands|0|0|12
Vitori, B V|22/02/1990|Zimbabwe|4|24|11
Wade, M S|26/12/1987|Australia|22|94|26
Wafadar|01/02/2000|Afghanistan|1|0|0
Wagner, N|13/03/1986|New Zealand|42|0|0
Wahab Riaz|28/06/1985|Pakistan|27|79|27
Wallace, C D|27/06/1990|Scotland|0|22|14
Waller, M N|28/09/1984|Zimbabwe|14|79|31
Walton, C A K|03/07/1985|West Indies|2|9|19
Waqas Barkat|17/02/1990|Hong Kong|0|10|11
Waqas Khan|10/03/1999|Hong Kong|0|8|8
Waqas Maqsood|04/11/1987|Pakistan|0|0|1
Warner, D A||Australia|74|106|70
Warrican, J A|20/05/1992|West Indies|7|0|0
Washington Sundar||India|0|1|7
Wasim Ali|07/12/1998|Oman|0|0|1
Watling, B J|09/07/1985|New Zealand|61|28|5
Watt, M R J|29/07/1996|Scotland|0|18|26
Weerakkody, D S|03/09/1993|Sri Lanka|0|3|0
Westley, T|13/03/1989|England|5|0|0
Wheal, B T J|28/08/1996|Scotland|0|11|5
Wheeler, B M|10/11/1991|New Zealand|0|6|6
White, C L|18/08/1983|Australia|4|91|47
Whittingham, S G|10/02/1994|Scotland|0|4|3
Wiese, D|18/05/1985|South Africa|0|6|20
Wildermuth, J D|01/09/1993|Australia|0|0|2
Willey, D J|28/03/1990|England|0|42|27
Williams, K O K|17/01/1990|West Indies|0|8|18
Williams, S C|26/09/1986|Zimbabwe|10|122|26
Williamson, K S||New Zealand|72|139|57
Wilson, G C|05/02/1986|Ireland|1|99|61
Woakes, C R|02/03/1989|England|26|84|8
Wood, M A|11/01/1990|England|13|40|5
Worker, G H|23/08/1989|New Zealand|0|10|2
Worrall, D J|10/07/1991|Australia|0|3|0
Yadav, J|22/01/1990|India|4|1|0
Yadav, U T||India|41|75|7
Yamin Ahmadzai|25/07/1992|Afghanistan|1|3|2
Yasir Idrees|26/07/1987|Kuwait|0|0|1
Yasir Shah|02/05/1986|Pakistan|35|19|2
Young, C A|04/04/1990|Ireland|0|13|16
Yuvraj Singh||India|40|304|58
Zaheer Ibrahim|02/04/1988|Qatar|0|0|5
Zahir Khan|20/12/1998|Afghanistan|0|1|0
Zahoor Khan|25/05/1989|United Arab Emirates|0|12|7
Zakir Hasan|01/12/1972|Bangladesh|0|2|1
Zampa, A|31/03/1992|Australia|0|39|22
Zeeshan Abbas|11/08/1995|Bahrain|0|0|1
Zeeshan Maqsood|24/10/1987|Oman|0|0|16
Zhuwawo, C|15/12/1984|Zimbabwe|0|9|7
Ziaur Rahman|17/10/1998|Afghanistan|0|0|1
Zondo, K|07/03/1990|South Africa|0|5|0
Zulfiqar Babar|10/12/1978|Pakistan|15|5|7
